id,name,year,metacritic_rating,reviewer_rating,positivity_ratio,to_beat_main,to_beat_extra,to_beat_completionist,extra_content_length,tags
96000,The Tiny Bang Story,2011,63,8,7.073878627968337,3.6,3.6,3.77,0.16999999999999993,Story Rich|Steampunk|Adventure|Atmospheric|Puzzle|Surreal|Collectathon|Comedy|Relaxing|Touch-Friendly|Classic|Funny|Mystery|Casual|Indie|Short|Cartoony|Retro|Logic|Cult Classic|Remake|Singleplayer|Minigames|Great Soundtrack|Hand-drawn|Colorful|Cute|Hidden Object|Family Friendly|2D|Stylized
262410,World of Guns: Gun Disassembly,2014,,8,5.208939708939709,2.0,,28.07,26.07,Horror|First-Person|Historical|Multiplayer|Strategy|Gun Customization|Action|Old School|Adventure|Military|Exploration|Puzzle|Free to Play|Co-op|FPS|Open World|Relaxing|Funny|3D|Casual|Indie|Shooter|America|Simulation|Singleplayer|Realistic|3D Platformer|Online Co-Op|Education|Logic|Sandbox
1250410,Microsoft Flight Simulator 40th Anniversary Edition,2020,91,6,3.5810823800826683,,,,,Multiplayer|Adventure|VR|Action Roguelike|Physics|Atmospheric|Boxing|Surreal|Psychological Horror|Controller|Beautiful|Open World|Auto Battler|Flight|Sexual Content|Real-Time|Short|Life Sim|Epic|Singleplayer|Simulation|Realistic|Colorful|Family Friendly|TrackIR|Logic
365450,Hacknet,2015,82,8,14.548520302821748,7.06,8.73,10.75,3.6900000000000004,Horror|Story Rich|Hacking|Crime|Multiplayer|Dystopian |Strategy|Adventure|Atmospheric|Puzzle|Cyberpunk|Detective|Programming|Massively Multiplayer|Typing|Casual|Indie|Simulation|Singleplayer|Great Soundtrack|Choices Matter|Education|2D|Difficult|Logic|Illuminati|Sci-fi
92800,SpaceChem,2011,84,8,11.44041450777202,43.32,57.79,67.55,24.229999999999997,Automation|Strategy|Building|Puzzle|Science|Programming|Touch-Friendly|Casual|Indie|Simulation|Singleplayer|Space|Great Soundtrack|Education|Addictive|2D|Difficult|Logic|Illuminati|Sci-fi
1301720,Escape Room - Der kranke Kollege,2020,,8,6.828913601368691,1.69,2.49,2.31,0.6200000000000001,Horror|First-Person|Crime|Multiplayer|Adventure|Escape Room|Atmospheric|Exploration|Puzzle|Free to Play|Investigation|Psychological Horror|Detective|Multiple Endings|Relaxing|3D|Casual|Tutorial|Realistic|Interactive Fiction|Immersive Sim|Logic
589870,Learn to Fly 3,2017,,8,15.571125265392782,3.02,6.35,11.78,8.76,Multiplayer|Strategy|Action|Adventure|Physics|Management|Puzzle|Memes|Free to Play|Character Customization|Psychological Horror|Runner|Co-op|Open World|Relaxing|Flight|Funny|Arcade|Casual|Indie|Simulation|Singleplayer|Space|Great Soundtrack|Cute|Anime|Family Friendly|2D|Logic|Sandbox
736260,Baba Is You,2019,87,9,49.39718309859155,6.84,19.28,46.7,39.86,Horror|Sokoban|Strategy|Level Editor|Pixel Graphics|Atmospheric|Puzzle|Surreal|Psychological Horror|Top-Down|Programming|Souls-like|Nudity|Funny|Sexual Content|Casual|Indie|Retro|Singleplayer|Great Soundtrack|Cute|2D|Minimalist|Difficult|Logic
585420,Trailmakers,2019,,8,11.906299212598425,12.18,85.26,406.74,394.56,Robots|Co-op Campaign|Automobile Sim|Action-Adventure|Multiplayer|Mechs|Driving|Action|Adventure|Building|Physics|Exploration|Puzzle|Free to Play|Science|Co-op|Open World|Early Access|Destruction|Transportation|Racing|Flight|Funny|Moddable|Survival|Indie|Vehicular Combat|Simulation|Singleplayer|Submarine|PvP|Space|Jet|LEGO|Online Co-Op|Family Friendly|Tanks|Logic|Sandbox
1455840,Dorfromantik,2022,,9,32.1463768115942,5.25,13.6,63.94,58.69,Procedural Generation|Strategy|Soundtrack|Atmospheric|Exploration|Puzzle|City Builder|Controller|Top-Down|Turn-Based Tactics|Open World|Early Access|Relaxing|3D|Casual|Indie|Logic|Singleplayer|Simulation|Hand-drawn|Colorful|Cute|Turn-Based Strategy|Family Friendly|Minimalist|Stylized|Sandbox|Board Game
