steam_appid,name,developers,publishers,categories,genres,required_age,n_achievements,platforms,is_released,release_date,additional_content,total_reviews,total_positive,total_negative,review_score,review_score_desc,positive_percentual,metacritic,is_free,price_initial (USD)
2719580,勇者の伝説の勇者,['ぽけそう'],['ぽけそう'],"['Single-player', 'Family Sharing']","['Casual', 'Indie']",0,0,['windows'],True,2024-01-04,[],0,0,0,0.0,No user reviews,0.0,0,False,0.99
2719590,Light No Fire,['Hello Games'],['Hello Games'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op']","['Action', 'Adventure']",0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
2719600,Lorhaven: Cursed War,['GoldenGod Games'],['GoldenGod Games'],"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Includes level editor', 'Remote Play Together', 'Family Sharing']","['RPG', 'Strategy']",0,32,"['windows', 'mac']",True,2024-01-26,[],9,8,1,0.0,9 user reviews,88.9,0,False,9.99
2719610,PUIQ: Demons,['Giammnn'],['Giammnn'],"['Single-player', 'Steam Achievements', 'Family Sharing']","['Action', 'Casual', 'Indie', 'RPG']",0,28,['windows'],True,2024-02-17,[],0,0,0,0.0,No user reviews,0.0,0,False,2.99
2719650,Project XSTING,['Saucy Melon'],['Saucy Melon'],"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Action', 'Casual', 'Indie', 'Early Access']",0,42,['windows'],True,2024-01-05,[],9,9,0,0.0,9 user reviews,100.0,0,False,7.99
2719670,The Milgram Experiment,['Theseus Games'],['Theseus Games'],['Single-player'],['Adventure'],0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
2719680,5 Bucks for the Bus,['Frog Vibes'],['Frog Vibes'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Stats']","['Indie', 'RPG']",0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
2719710,Manor Madness,['Apericot Studio'],['Apericot Studio'],"['Single-player', 'Steam Achievements', 'HDR available']","['Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy']",0,5,"['windows', 'mac', 'linux']",True,2024-01-15,[],0,0,0,0.0,No user reviews,0.0,0,True,0.0
2719720,Fly Hands,['Kuryakin'],['Kuryakin Studios'],"['Single-player', 'Tracked Controller Support', 'VR Only', 'Family Sharing']","['Adventure', 'Casual', 'Indie', 'Racing', 'Simulation', 'Early Access']",0,0,['windows'],True,2024-03-26,[],0,0,0,0.0,No user reviews,0.0,0,False,13.99
2719740,Zero Caliber 2,['XREAL Games'],['XREAL Games'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Cloud']",['Action'],0,0,['windows'],False,Not Released,[],0,0,0,0.0,No user reviews,0.0,0,False,0.0
